RowId,YearStart,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Class,Topic,Question,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Break_Out_Category,Break_Out,ClassId,TopicId,QuestionId,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationId,GeoLocation
HCUP~2016~59~HC100~OVR01~AgeStdz,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",1085.9,1085.9,,,1065.5,1106.4,Overall,Overall,C1,T1,HC100,AgeStdz,BOC01,OVR01,59,
HCUP~2017~59~HC100~AGE08~Crude,2017,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",6739.0,6739.0,,,6621.9,6856.2,Age,75+,C1,T1,HC100,Crude,BOC03,AGE08,59,
HCUP~2017~59~HC100~GEN01~AgeStdz,2017,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",1228.8,1228.8,,,1203.8,1253.9,Gender,Male,C1,T1,HC100,AgeStdz,BOC02,GEN01,59,
HCUP~2017~59~HC100~GEN02~AgeStdz,2017,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",951.7,951.7,,,933.2,970.3,Gender,Female,C1,T1,HC100,AgeStdz,BOC02,GEN02,59,
HCUP~2018~59~HC100~OVR01~AgeStdz,2018,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",1079.2,1079.2,,,1058.6,1099.9,Overall,Overall,C1,T1,HC100,AgeStdz,BOC01,OVR01,59,
HCUP~2018~59~HC100~OVR01~Crude,2018,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1275.3,1275.3,,,1252.8,1297.8,Overall,Overall,C1,T1,HC100,Crude,BOC01,OVR01,59,
HCUP~2018~59~HC100~AGE01~Crude,2018,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",16.0,16.0,,,14.9,17.1,Age,18-24,C1,T1,HC100,Crude,BOC03,AGE01,59,
HCUP~2018~59~HC100~AGE04~Crude,2018,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",164.4,164.4,,,159.8,169.0,Age,25-44,C1,T1,HC100,Crude,BOC03,AGE04,59,
HCUP~2018~59~HC100~AGE05~Crude,2018,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1077.0,1077.0,,,1053.8,1100.2,Age,45-64,C1,T1,HC100,Crude,BOC03,AGE05,59,
HCUP~2018~59~HC100~AGE06~Crude,2018,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",4167.0,4167.0,,,4094.7,4239.2,Age,65+,C1,T1,HC100,Crude,BOC03,AGE06,59,
HCUP~2018~59~HC100~AGE07~Crude,2018,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1801.7,1801.7,,,1769.9,1833.4,Age,35+,C1,T1,HC100,Crude,BOC03,AGE07,59,
HCUP~2018~59~HC100~AGE08~Crude,2018,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",6588.2,6588.2,,,6475.5,6700.9,Age,75+,C1,T1,HC100,Crude,BOC03,AGE08,59,
HCUP~2018~59~HC100~GEN01~AgeStdz,2018,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",1233.4,1233.4,,,1208.5,1258.3,Gender,Male,C1,T1,HC100,AgeStdz,BOC02,GEN01,59,
HCUP~2018~59~HC100~GEN02~AgeStdz,2018,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",939.6,939.6,,,921.5,957.6,Gender,Female,C1,T1,HC100,AgeStdz,BOC02,GEN02,59,
HCUP~2019~59~HC100~OVR01~AgeStdz,2019,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",1092.9,1092.9,,,1071.0,1114.9,Overall,Overall,C1,T1,HC100,AgeStdz,BOC01,OVR01,59,
HCUP~2019~59~HC100~OVR01~Crude,2019,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1306.0,1306.0,,,1281.8,1330.3,Overall,Overall,C1,T1,HC100,Crude,BOC01,OVR01,59,
HCUP~2019~59~HC100~AGE01~Crude,2019,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",17.2,17.2,,,16.0,18.4,Age,18-24,C1,T1,HC100,Crude,BOC03,AGE01,59,
HCUP~2019~59~HC100~AGE04~Crude,2019,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",170.0,170.0,,,165.2,174.8,Age,25-44,C1,T1,HC100,Crude,BOC03,AGE04,59,
HCUP~2019~59~HC100~AGE05~Crude,2019,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1112.8,1112.8,,,1087.6,1138.1,Age,45-64,C1,T1,HC100,Crude,BOC03,AGE05,59,
HCUP~2019~59~HC100~AGE06~Crude,2019,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",4165.3,4165.3,,,4089.4,4241.1,Age,65+,C1,T1,HC100,Crude,BOC03,AGE06,59,
HCUP~2019~59~HC100~AGE07~Crude,2019,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1840.8,1840.8,,,1806.7,1875.0,Age,35+,C1,T1,HC100,Crude,BOC03,AGE07,59,
HCUP~2019~59~HC100~AGE08~Crude,2019,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",6582.5,6582.5,,,6464.2,6700.7,Age,75+,C1,T1,HC100,Crude,BOC03,AGE08,59,
HCUP~2019~59~HC100~GEN01~AgeStdz,2019,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",1253.7,1253.7,,,1227.3,1280.1,Gender,Male,C1,T1,HC100,AgeStdz,BOC02,GEN01,59,
HCUP~2019~59~HC100~GEN02~AgeStdz,2019,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",947.1,947.1,,,927.9,966.2,Gender,Female,C1,T1,HC100,AgeStdz,BOC02,GEN02,59,
HCUP~2016~59~HC101~OVR01~AgeStdz,2016,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Age-Standardized,"Rate per 100,000",1592.6,1592.6,,,1554.8,1630.3,Overall,Overall,C1,T1,HC101,AgeStdz,BOC01,OVR01,59,
HCUP~2016~59~HC101~OVR01~Crude,2016,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",1822.6,1822.6,,,1781.9,1863.4,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
HCUP~2016~59~HC101~AGE01~Crude,2016,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",66.1,66.1,,,63.0,69.3,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
HCUP~2016~59~HC101~AGE04~Crude,2016,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",305.5,305.5,,,296.7,314.2,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
HCUP~2016~59~HC101~AGE05~Crude,2016,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",1671.7,1671.7,,,1630.9,1712.5,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
HCUP~2016~59~HC101~AGE06~Crude,2016,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",5804.5,5804.5,,,5671.3,5937.7,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
HCUP~2016~59~HC101~AGE07~Crude,2016,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",2560.2,2560.2,,,2502.8,2617.5,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
HCUP~2016~59~HC101~AGE08~Crude,2016,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",8313.6,8313.6,,,8122.5,8504.8,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
HCUP~2016~59~HC101~GEN01~AgeStdz,2016,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Age-Standardized,"Rate per 100,000",1878.8,1878.8,,,1831.8,1925.7,Gender,Male,C1,T1,HC101,AgeStdz,BOC02,GEN01,59,
HCUP~2016~59~HC101~GEN02~AgeStdz,2016,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Age-Standardized,"Rate per 100,000",1337.3,1337.3,,,1306.1,1368.4,Gender,Female,C1,T1,HC101,AgeStdz,BOC02,GEN02,59,
HCUP~2017~59~HC101~OVR01~AgeStdz,2017,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Age-Standardized,"Rate per 100,000",1603.9,1603.9,,,1564.9,1642.8,Overall,Overall,C1,T1,HC101,AgeStdz,BOC01,OVR01,59,
HCUP~2017~59~HC101~OVR01~Crude,2017,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",1856.3,1856.3,,,1813.7,1898.9,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
HCUP~2017~59~HC101~AGE01~Crude,2017,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",64.6,64.6,,,61.4,67.8,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
HCUP~2017~59~HC101~AGE04~Crude,2017,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",306.3,306.3,,,297.4,315.3,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
HCUP~2017~59~HC101~AGE05~Crude,2017,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",1695.4,1695.4,,,1653.3,1737.5,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
HCUP~2017~59~HC101~AGE06~Crude,2017,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",5829.4,5829.4,,,5691.7,5967.1,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
HCUP~2017~59~HC101~AGE07~Crude,2017,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",2602.9,2602.9,,,2543.0,2662.7,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
HCUP~2017~59~HC101~AGE08~Crude,2017,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",8365.6,8365.6,,,8167.4,8563.8,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
HCUP~2017~59~HC101~GEN01~AgeStdz,2017,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Age-Standardized,"Rate per 100,000",1891.1,1891.1,,,1842.8,1939.4,Gender,Male,C1,T1,HC101,AgeStdz,BOC02,GEN01,59,
HCUP~2017~59~HC101~GEN02~AgeStdz,2017,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Age-Standardized,"Rate per 100,000",1347.3,1347.3,,,1315.1,1379.5,Gender,Female,C1,T1,HC101,AgeStdz,BOC02,GEN02,59,
HCUP~2018~59~HC101~OVR01~AgeStdz,2018,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Age-Standardized,"Rate per 100,000",1598.9,1598.9,,,1560.2,1637.7,Overall,Overall,C1,T1,HC101,AgeStdz,BOC01,OVR01,59,
HCUP~2018~59~HC101~OVR01~Crude,2018,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",1869.9,1869.9,,,1827.1,1912.7,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
HCUP~2018~59~HC101~AGE01~Crude,2018,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",62.4,62.4,,,59.5,65.4,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
HCUP~2018~59~HC101~AGE04~Crude,2018,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",308.7,308.7,,,299.8,317.5,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
HCUP~2018~59~HC101~AGE05~Crude,2018,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",1713.3,1713.3,,,1671.0,1755.6,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
HCUP~2018~59~HC101~AGE06~Crude,2018,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",5760.4,5760.4,,,5624.1,5896.7,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
HCUP~2018~59~HC101~AGE07~Crude,2018,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",2617.8,2617.8,,,2557.7,2677.9,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
HCUP~2018~59~HC101~AGE08~Crude,2018,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",8219.6,8219.6,,,8024.5,8414.8,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
HCUP~2018~59~HC101~GEN01~AgeStdz,2018,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Age-Standardized,"Rate per 100,000",1895.1,1895.1,,,1846.8,1943.5,Gender,Male,C1,T1,HC101,AgeStdz,BOC02,GEN01,59,
HCUP~2018~59~HC101~GEN02~AgeStdz,2018,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Age-Standardized,"Rate per 100,000",1334.1,1334.1,,,1302.4,1365.8,Gender,Female,C1,T1,HC101,AgeStdz,BOC02,GEN02,59,
HCUP~2019~59~HC101~OVR01~AgeStdz,2019,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Age-Standardized,"Rate per 100,000",1609.1,1609.1,,,1568.8,1649.5,Overall,Overall,C1,T1,HC101,AgeStdz,BOC01,OVR01,59,
HCUP~2019~59~HC101~OVR01~Crude,2019,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",1903.6,1903.6,,,1858.5,1948.8,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
HCUP~2019~59~HC101~AGE01~Crude,2019,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",61.8,61.8,,,58.8,64.9,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
HCUP~2019~59~HC101~AGE04~Crude,2019,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",314.5,314.5,,,305.1,323.9,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
HCUP~2019~59~HC101~AGE05~Crude,2019,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",1738.2,1738.2,,,1693.9,1782.6,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
HCUP~2019~59~HC101~AGE06~Crude,2019,US,United States,HCUP,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among US adults (18+); HCUP-NIS,Crude,"Rate per 100,000",5763.3,5763.3,,,5622.4,5904.2,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
